Date,Open,High,Low,Close
2023-05-10,0.36379,0.37268,0.35585,0.36994
2023-05-11,0.36996,0.36996,0.35121,0.36004
2023-05-12,0.36,0.37055,0.3558,0.37046
2023-05-13,0.37047,0.37064,0.36338,0.36503
2023-05-14,0.36503,0.37279,0.36393,0.37076
2023-05-15,0.37079,0.37547,0.36748,0.36748
2023-05-16,0.36745,0.37009,0.36296,0.36783
2023-05-17,0.36784,0.37953,0.36516,0.37543
2023-05-18,0.37544,0.37981,0.36715,0.37208
2023-05-19,0.37204,0.37265,0.36694,0.36821
2023-05-20,0.36824,0.36838,0.36451,0.36636
2023-05-21,0.36635,0.3674,0.35834,0.36036
2023-05-22,0.36038,0.37321,0.35726,0.368
2023-05-23,0.368,0.37518,0.3666,0.37048
2023-05-24,0.3705,0.37057,0.36098,0.36423
2023-05-25,0.36422,0.36462,0.35572,0.35842
2023-05-26,0.35841,0.36633,0.35448,0.36288
2023-05-27,0.36287,0.36723,0.36208,0.36677
2023-05-28,0.36678,0.38375,0.36649,0.383
2023-05-29,0.38303,0.38595,0.37637,0.37914
2023-05-30,0.37913,0.38307,0.37551,0.37793
2023-05-31,0.37794,0.38036,0.371,0.3744
2023-06-01,0.37441,0.37547,0.36169,0.36472
2023-06-02,0.36471,0.37926,0.36316,0.3783
2023-06-03,0.37825,0.3783,0.37413,0.37603
2023-06-04,0.37604,0.38173,0.37532,0.37769
2023-06-05,0.37769,0.37902,0.34826,0.35201
2023-06-06,0.352,0.35653,0.33907,0.35372
2023-06-07,0.3537,0.3537,0.31963,0.32228
2023-06-08,0.32226,0.33022,0.32095,0.32316
2023-06-09,0.32316,0.32338,0.29167,0.2954
2023-06-10,0.29538,0.29538,0.23042,0.27619
2023-06-11,0.27605,0.2794,0.26031,0.27263
2023-06-12,0.27258,0.28593,0.26669,0.27505
2023-06-13,0.27505,0.28742,0.26989,0.27499
2023-06-14,0.27499,0.27692,0.25822,0.26323
2023-06-15,0.26323,0.26525,0.25341,0.26196
2023-06-16,0.26197,0.26681,0.25535,0.26318
2023-06-17,0.26319,0.27291,0.26116,0.26693
2023-06-18,0.26692,0.26866,0.2602,0.26096
2023-06-19,0.26097,0.26324,0.25791,0.26305
2023-06-20,0.2631,0.2704,0.25323,0.27033
2023-06-21,0.27033,0.28863,0.2694,0.287
2023-06-22,0.28699,0.3043,0.28618,0.29031
2023-06-23,0.29034,0.30224,0.28806,0.29648
2023-06-24,0.29649,0.29727,0.28594,0.29001
2023-06-25,0.29,0.30309,0.28912,0.29232
2023-06-26,0.29231,0.29246,0.27825,0.28035
2023-06-27,0.28035,0.28911,0.27933,0.28652
2023-06-28,0.28653,0.28679,0.26491,0.26717
2023-06-29,0.26716,0.27787,0.26701,0.27556
2023-06-30,0.27551,0.29831,0.27265,0.28696
2023-07-01,0.28696,0.29281,0.28275,0.29234
2023-07-02,0.29235,0.29309,0.28777,0.29206
2023-07-03,0.29204,0.29931,0.29116,0.29631
2023-07-04,0.29633,0.30095,0.29129,0.29261
2023-07-05,0.29262,0.2956,0.28129,0.28447
2023-07-06,0.28446,0.29335,0.27709,0.2797
2023-07-07,0.27966,0.28522,0.27795,0.28453
2023-07-08,0.28452,0.29221,0.28267,0.29065
2023-07-09,0.29064,0.29151,0.28377,0.28459
2023-07-10,0.2846,0.29259,0.27961,0.28799
2023-07-11,0.288,0.29372,0.288,0.29282
2023-07-12,0.29282,0.29485,0.2859,0.28876
2023-07-13,0.28878,0.35847,0.28644,0.35766
2023-07-14,0.35748,0.37471,0.31934,0.3288
2023-07-15,0.32878,0.33737,0.32555,0.32636
2023-07-16,0.32637,0.32744,0.31365,0.31488
2023-07-17,0.31489,0.31947,0.30663,0.31249
2023-07-18,0.31244,0.31359,0.30244,0.3074
2023-07-19,0.3077,0.32584,0.30741,0.32351
2023-07-20,0.32346,0.33156,0.31135,0.31609
